N1_ID_padre,N1_Descripcion,N2_ID_padre,N2_Descripcion,N3_ID_padre,N3_Descripcion,PFM_V5,PFM_V6,BFM
,,,,518,Seguro de responsabilidad civil,Seguros_Otros,Seguros_Otros,Seguros_Seguro Responsabilidad Civil
,,,,516,Seguro de vida,Seguros_Seguro de vida y decesos,Seguros_Seguro de vida y decesos,Seguros_Seguro De Vida Y Accidentes
,,,,517,Seguro de decesos,Seguros_Seguro de vida y decesos,Seguros_Seguro de vida y decesos,Seguros_Seguro De Vida Y Accidentes
469,Gastos profesionales,528,Vehículos,560,Alquiler vehículo,Automóvil y transporte_Compra y alquiler,Automóvil y transporte_Compra y alquiler,Automovil Y Transporte_Compra Y Alquiler
,,,,541,Combustible,Automóvil y transporte_Gasolineras,Automóvil y transporte_Gasolineras,Automovil Y Transporte_Gasolineras
,,,,561,Reparaciones,Automóvil y transporte_Mantenimiento,Automóvil y transporte_Mantenimiento,Automovil Y Transporte_Mantenimiento
,,,,542,Parking,Automóvil y transporte_Parking,Automóvil y transporte_Parking,Automovil Y Transporte_Parking
,,,,543,Peajes,Automóvil y transporte_Peajes,Automóvil y transporte_Peajes,Automovil Y Transporte_Peajes
,,535,Financiación,572,Créditos,Bancos_Financiación,Bancos_Financiación,Bancos e Inversiones_Créditos
,,,,568,Préstamos,Bancos_Préstamos,Bancos_Préstamos,Bancos e Inversiones_Préstamos
,,,,545,Leasing,Bancos_Renting,Bancos_Renting,Automovil Y Transporte_Renting Y Leasing
,,,,567,Avales,Bancos_Otros,Bancos_Otros,Bancos e Inversiones_Avales
,,526,Gastos bancarios,,,Bancos_Comisiones,Bancos_Comisiones,Bancos e Inversiones_Comisiones
,,471,Otros gastos profesionales,525,Software y sistemas,Compras_Online,Gastos empresa y profesionales_Dominios y plataformas digitales,Compras/Gastos_Software
,,,,466,Asociaciones y colegios profesionales,Gastos empresa y profesionales_Colegio,Gastos empresa y profesionales_Colegio,Gastos Profesionales_Gestoría Y Asesoria
,,,,505,Asesores,Gastos empresa y profesionales_Gestoría,"Gastos empresa y profesionales_Gestorías, consultorías y asesorías",Gastos Profesionales_Gestoría Y Asesoria
,,,,527,Marketing,Gastos empresa y profesionales_Otros,Gastos empresa y profesionales_Otros,"Gastos de Representación Y 
de Viaje_Publicidad Y Marketing"
,,,,546,Prevención de riesgos laborales,Gastos empresa y profesionales_Otros,Gastos empresa y profesionales_Otros,Gastos Profesionales_Otros
,,,,548,Mensajería,Gastos empresa y profesionales_Paquetería,Gastos empresa y profesionales_Paquetería y mensajería,Automovil Y Transporte_Logística
,,,,547,Otros,Gastos empresa y profesionales_Otros,Gastos empresa y profesionales_Otros,Gastos Profesionales_Otros
,,533,Gastos de local y oficina,531,Alquiler,Alquileres_Vacío,Vivienda_Alquileres,Alquileres_Alquileres Inmobiliarios
,,,,529,Material de oficina,"Compras_Librería, papelería y revistas","Compras_Librería, papelería y revistas",Compras/Gastos_Papelería Y Material Oficina
,,,,539,Mobiliario y equipamiento,Gastos hogar_Bricolaje y decoración,"Gastos hogar_Reformas, bricolaje y decoración",Local_Mobiliario
